raw_feature_name,feature,feature_group,coefficient_log_scale,absolute_coefficient,approx_percent_effect
categorical_most_frequent__Exterior2nd_Stucco,Exterior2nd_Stucco,categorical_most_frequent,-0.015820225154401377,0.015820225154401377,-1.5695742703746507
categorical_most_frequent__Utilities_NoSeWa,Utilities_NoSeWa,categorical_most_frequent,-0.015446208006534698,0.015446208006534698,-1.532752717763153
categorical_most_frequent__Utilities_AllPub,Utilities_AllPub,categorical_most_frequent,0.015446208006534646,0.015446208006534646,1.5566117263030783
categorical_none__BsmtCond_Gd,BsmtCond_Gd,categorical_none,0.015414906555328806,0.015414906555328806,1.5534329067275894
categorical_most_frequent__Neighborhood_Sawyer,Neighborhood_Sawyer,categorical_most_frequent,-0.015251658769007949,0.015251658769007949,-1.5135941262987838
numeric_median__WoodDeckSF,WoodDeckSF,numeric_median,0.01518161427242041,0.01518161427242041,1.5297440378501834
categorical_most_frequent__Foundation_Wood,Foundation_Wood,categorical_most_frequent,-0.015169508215430779,0.015169508215430779,-1.5055030811990666
categorical_most_frequent__BldgType_TwnhsE,BldgType_TwnhsE,categorical_most_frequent,-0.014977156436801696,0.014977156436801696,-1.486555667305597
categorical_most_frequent__RoofMatl_Tar&Grv,RoofMatl_Tar&Grv,categorical_most_frequent,0.014754432019904477,0.014754432019904477,1.4863815955870239
categorical_most_frequent__SaleType_CWD,SaleType_CWD,categorical_most_frequent,0.014420009156118819,0.014420009156118819,1.4524479036360627
numeric_median__ScreenPorch,ScreenPorch,numeric_median,0.014291003546256962,0.014291003546256962,1.439360812894487
numeric_median__LotArea,LotArea,numeric_median,0.014189491053039033,0.014189491053039033,1.4290639731057189
categorical_none__Alley_None,Alley_None,categorical_none,-0.014181569741993751,0.014181569741993751,-1.4081484960193809
categorical_most_frequent__Exterior1st_MetalSd,Exterior1st_MetalSd,categorical_most_frequent,0.013990605526042234,0.013990605526042234,1.4088932061679307
categorical_none__Fence_None,Fence_None,categorical_none,0.01380950852423216,0.01380950852423216,1.390530022460359
categorical_none__Alley_Pave,Alley_Pave,categorical_none,0.013744287786794776,0.013744287786794776,1.383917472963148
numeric_median__BedroomAbvGr,BedroomAbvGr,numeric_median,0.013509607273670898,0.013509607273670898,1.360127434826449
categorical_most_frequent__HouseStyle_1Story,HouseStyle_1Story,categorical_most_frequent,0.013125780667034117,0.013125780667034117,1.3212301864418332
categorical_most_frequent__ExterCond_Gd,ExterCond_Gd,categorical_most_frequent,-0.01296143818245258,0.01296143818245258,-1.2877800487480526
categorical_most_frequent__Foundation_Slab,Foundation_Slab,categorical_most_frequent,-0.012918534034436997,0.012918534034436997,-1.2835447941979727
categorical_none__GarageCond_Ex,GarageCond_Ex,categorical_none,0.01269486878755828,0.01269486878755828,1.2775790702790897
numeric_median__Fireplaces,Fireplaces,numeric_median,0.01262301061494024,0.01262301061494024,1.2703017099919576
categorical_most_frequent__Functional_Mod,Functional_Mod,categorical_most_frequent,-0.012336609698265315,0.012336609698265315,-1.226082568821001
categorical_none__FireplaceQu_TA,FireplaceQu_TA,categorical_none,0.012238377855895802,0.012238377855895802,1.231357324559317
numeric_median__LotFrontage,LotFrontage,numeric_median,-0.012155874503616874,0.012155874503616874,-1.208229032295287
categorical_most_frequent__LandContour_Lvl,LandContour_Lvl,categorical_most_frequent,0.012137515806299426,0.012137515806299426,1.221147437279873
categorical_none__MasVnrType_Stone,MasVnrType_Stone,categorical_none,0.012130352739502612,0.012130352739502612,1.2204223860363281
categorical_most_frequent__RoofMatl_WdShake,RoofMatl_WdShake,categorical_most_frequent,0.012030544599777097,0.012030544599777097,1.210320268120931
categorical_most_frequent__ExterCond_Fa,ExterCond_Fa,categorical_most_frequent,-0.011929383829429038,0.011929383829429038,-1.1858510833818952
categorical_most_frequent__HeatingQC_Po,HeatingQC_Po,categorical_most_frequent,-0.01189711775639078,0.01189711775639078,-1.1826626873975064
categorical_most_frequent__SaleType_Con,SaleType_Con,categorical_most_frequent,0.011798289735858654,0.011798289735858654,1.186816408508429
categorical_none__Fence_MnPrv,Fence_MnPrv,categorical_none,0.011700459804721498,0.011700459804721498,1.176917793425507
categorical_most_frequent__LotConfig_FR3,LotConfig_FR3,categorical_most_frequent,-0.011614548093758963,0.011614548093758963,-1.1547359602938005
categorical_none__BsmtFinType2_ALQ,BsmtFinType2_ALQ,categorical_none,0.011502331347231776,0.011502331347231776,1.1568737524825572
categorical_most_frequent__Condition1_RRNn,Condition1_RRNn,categorical_most_frequent,0.011407504723678732,0.011407504723678732,1.1472818424868347
categorical_most_frequent__SaleType_ConLI,SaleType_ConLI,categorical_most_frequent,-0.011252782199992378,0.011252782199992378,-1.1189706460585112
categorical_none__GarageCond_Po,GarageCond_Po,categorical_none,0.011004448146488476,0.011004448146488476,1.1065219800924178
categorical_none__GarageQual_TA,GarageQual_TA,categorical_none,-0.010985784896581427,0.010985784896581427,-1.0925661530551543
categorical_most_frequent__LandContour_Low,LandContour_Low,categorical_most_frequent,0.01065693161920482,0.01065693161920482,1.0713918971839238
categorical_most_frequent__Foundation_Stone,Foundation_Stone,categorical_most_frequent,0.010493781312872336,0.010493781312872336,1.0549034137215858
categorical_most_frequent__Neighborhood_Blueste,Neighborhood_Blueste,categorical_most_frequent,-0.010262766858286646,0.010262766858286646,-1.0210284358487782
categorical_most_frequent__Exterior2nd_HdBoard,Exterior2nd_HdBoard,categorical_most_frequent,0.009993807480599588,0.009993807480599588,1.0043912348279307
numeric_median__GarageYrBlt,GarageYrBlt,numeric_median,-0.009463276069565924,0.009463276069565924,-0.94186401841165
categorical_none__BsmtFinType1_LwQ,BsmtFinType1_LwQ,categorical_none,-0.009326838037910613,0.009326838037910613,-0.9283477992766785
categorical_most_frequent__Heating_GasA,Heating_GasA,categorical_most_frequent,0.009246845509574319,0.009246845509574319,0.9289729664647988
categorical_none__BsmtFinType1_BLQ,BsmtFinType1_BLQ,categorical_none,0.00884273567181924,0.00884273567181924,0.8881948155554469
categorical_most_frequent__Functional_Min2,Functional_Min2,categorical_most_frequent,0.008782164272672989,0.008782164272672989,0.8820840615084587
categorical_most_frequent__PavedDrive_N,PavedDrive_N,categorical_most_frequent,-0.008710222693762513,0.008710222693762513,-0.8672398602493587
categorical_most_frequent__Condition1_Feedr,Condition1_Feedr,categorical_most_frequent,-0.00868746494234408,0.00868746494234408,-0.8649837958652963
numeric_median__3SsnPorch,3SsnPorch,numeric_median,0.00867145706401479,0.00867145706401479,0.8709163057653261
categorical_none__GarageFinish_RFn,GarageFinish_RFn,categorical_none,0.008502674113440903,0.008502674113440903,0.8538924515927302
categorical_none__MiscFeature_Othr,MiscFeature_Othr,categorical_none,-0.008438437556967656,0.008438437556967656,-0.8402933878144481
categorical_none__GarageType_CarPort,GarageType_CarPort,categorical_none,-0.008256030460701199,0.008256030460701199,-0.822204303926208
categorical_most_frequent__Heating_OthW,Heating_OthW,categorical_most_frequent,-0.008220520682558116,0.008220520682558116,-0.8186824598747401
categorical_most_frequent__Electrical_FuseA,Electrical_FuseA,categorical_most_frequent,0.008010559015851902,0.008010559015851902,0.8042729387237861
categorical_none__GarageCond_None,GarageCond_None,categorical_none,-0.007731247737309846,0.007731247737309846,-0.7701438511825592
categorical_none__GarageQual_None,GarageQual_None,categorical_none,-0.0077312477373098435,0.0077312477373098435,-0.7701438511825589
categorical_none__GarageFinish_None,GarageFinish_None,categorical_none,-0.007731247737309828,0.007731247737309828,-0.7701438511825575
categorical_none__GarageType_None,GarageType_None,categorical_none,-0.007731247737309827,0.007731247737309827,-0.7701438511825573
categorical_most_frequent__RoofMatl_Roll,RoofMatl_Roll,categorical_most_frequent,0.0076711680804453525,0.0076711680804453525,0.7700666872123251
numeric_median__EnclosedPorch,EnclosedPorch,numeric_median,0.007567912311824278,0.007567912311824278,0.7596621336968693
categorical_most_frequent__ExterQual_Gd,ExterQual_Gd,categorical_most_frequent,0.007502618748459617,0.007502618748459617,0.7530833910898517
categorical_none__BsmtExposure_Mn,BsmtExposure_Mn,categorical_none,-0.00744777722347762,0.00744777722347762,-0.7420111256618617
categorical_most_frequent__HeatingQC_Gd,HeatingQC_Gd,categorical_most_frequent,-0.007443187300764949,0.007443187300764949,-0.7415555381187582
categorical_most_frequent__RoofStyle_Shed,RoofStyle_Shed,categorical_most_frequent,0.007382855100412334,0.007382855100412334,0.7410175568095099
categorical_most_frequent__Exterior2nd_AsphShn,Exterior2nd_AsphShn,categorical_most_frequent,0.007255544921264302,0.007255544921264302,0.7281930161814013
categorical_most_frequent__LandSlope_Gtl,LandSlope_Gtl,categorical_most_frequent,-0.007241858823425971,0.007241858823425971,-0.7215699748682096
numeric_median__KitchenAbvGr,KitchenAbvGr,numeric_median,-0.007133608702425986,0.007133608702425986,-0.7108224911075869
categorical_most_frequent__LotConfig_Corner,LotConfig_Corner,categorical_most_frequent,0.007127297188131129,0.007127297188131129,0.7152756820915878
categorical_most_frequent__Heating_Floor,Heating_Floor,categorical_most_frequent,-0.006978695150348697,0.006978695150348697,-0.6954400604941314
categorical_most_frequent__LotConfig_Inside,LotConfig_Inside,categorical_most_frequent,-0.006879437666956504,0.006879437666956504,-0.6855828505923357
numeric_median__LowQualFinSF,LowQualFinSF,numeric_median,0.006803832835508806,0.006803832835508806,0.6827031489545766
categorical_none__Fence_GdPrv,Fence_GdPrv,categorical_none,0.0067605846615619155,0.0067605846615619155,0.6783489000526832
categorical_none__MiscFeature_TenC,MiscFeature_TenC,categorical_none,-0.006669251542115945,0.006669251542115945,-0.6647061441907519
numeric_zero__GarageArea,GarageArea,numeric_zero,0.006568143402637901,0.006568143402637901,0.6589760959671564
categorical_none__PoolQC_Fa,PoolQC_Fa,categorical_none,0.006501491873460384,0.006501491873460384,0.6522672448649932
categorical_most_frequent__ExterCond_TA,ExterCond_TA,categorical_most_frequent,0.006446264312379284,0.006446264312379284,0.6467086191238605
